Course Name,Course Code,Course Type,Duration,Credits,URL
Bachelor of Biomedicine,B-BMED,Undergraduate Coursework,36 months full-time or 72 months part-time,300 credit points,https://handbook.unimelb.edu.au/2024/courses/b-bmed
Bachelor of Science,B-SCI,Undergraduate Coursework,36 months full-time or 72 months part-time,300 credit points,https://handbook.unimelb.edu.au/2024/courses/b-sci
Bachelor of Environments,B-ENVS,Undergraduate Coursework,36 months full-time or 72 months part-time,300 credit points,https://handbook.unimelb.edu.au/2024/courses/b-envs
Bachelor of Arts,B-ARTS,Undergraduate Coursework,36 months full-time or 72 months part-time,300 credit points,https://handbook.unimelb.edu.au/2024/courses/b-arts
Bachelor of Music,B-MUS,Undergraduate Coursework,36 months full-time or 72 months part-time,300 credit points,https://handbook.unimelb.edu.au/2024/courses/b-mus
Bachelor of Design,B-DES,Undergraduate Coursework,36 months full-time or 72 months part-time,300 credit points,https://handbook.unimelb.edu.au/2024/courses/b-des
Bachelor of Agriculture,B-AGR,Undergraduate Coursework,36 months full-time or 72 months part-time,300 credit points,https://handbook.unimelb.edu.au/2024/courses/b-agr
Bachelor of Commerce,B-COM,Undergraduate Coursework,36 months full-time or 72 months part-time,300 credit points,https://handbook.unimelb.edu.au/2024/courses/b-com
Master of Clinical Research,N01AA,Graduate Coursework,18 months full-time or 36 months part-time,150 credit points,https://handbook.unimelb.edu.au/2024/courses/n01aa
Graduate Certificate in Clinical Education,GC-CLINED,Graduate Coursework,12 months part-time,50 credit points,https://handbook.unimelb.edu.au/2024/courses/gc-clined
Graduate Certificate in Primary Care Nursing,GC-PCN,Graduate Coursework,6 months full-time or 12 months part-time,50 credit points,https://handbook.unimelb.edu.au/2024/courses/gc-pcn
Master of Commerce (Actuarial Science),MC-COMACTS,Graduate Coursework,18 months full-time or 36 months part-time,150 credit points,https://handbook.unimelb.edu.au/2024/courses/mc-comacts
Master of Genetic Counselling,MC-GENCOUN,Graduate Coursework,24 months full-time or 36 months part-time,200 credit points,https://handbook.unimelb.edu.au/2024/courses/mc-gencoun
Specialist Certificate in Paediatric Critical Care Nursing,SC-PAECCN,Online,6 months part-time,25 credit points,https://handbook.unimelb.edu.au/2024/courses/sc-paeccn
Doctor of Optometry,MC-DOPTOM,Graduate Coursework,48 months full-time,400 credit points,https://handbook.unimelb.edu.au/2024/courses/mc-doptom
Graduate Certificate in English for the Global Workplace,GC-ENGGWRK,Graduate Coursework,12 months part-time,50 credit points,https://handbook.unimelb.edu.au/2024/courses/gc-enggwrk
Master of Analytics Management,MC-ANAMGT,Graduate Coursework,18 months full-time,150 credit points,https://handbook.unimelb.edu.au/2024/courses/mc-anamgt
Doctor of Laws,DH-LLD,Graduate Research,0 months full-time or 0 months part-time,,https://handbook.unimelb.edu.au/2024/courses/dh-lld
Master of Entrepreneurship (Enhanced),MC-ETRENH,Graduate Coursework,18 months full-time or 36 months part-time,150 credit points,https://handbook.unimelb.edu.au/2024/courses/mc-etrenh
Graduate Certificate in Bushfire Planning and Management,GC-BFIREPM,Graduate Coursework,12 months part-time,50 credit points,https://handbook.unimelb.edu.au/2024/courses/gc-bfirepm
